"id","sire","dam","sire_pop","dam_pop"
1,11,61,1,1
2,11,61,1,1
3,11,61,1,1
4,11,61,1,1
5,11,61,1,1
6,11,61,1,1
7,12,62,1,1
8,12,62,1,1
9,12,62,1,1
10,12,62,1,1
11,12,62,1,1
12,13,63,1,1
13,13,63,1,1
14,13,63,1,1
15,14,64,1,1
16,14,64,1,1
17,14,64,1,1
18,15,65,1,1
19,15,65,1,1
20,15,65,1,1
21,15,65,1,1
22,21,71,2,2
23,21,71,2,2
24,21,71,2,2
25,21,71,2,2
26,21,71,2,2
27,21,71,2,2
28,22,72,2,2
29,22,72,2,2
30,22,72,2,2
31,23,73,2,2
32,23,73,2,2
33,23,73,2,2
34,23,73,2,2
35,23,73,2,2
36,23,73,2,2
37,23,73,2,2
38,24,74,2,2
39,24,74,2,2
40,25,75,2,2
41,25,75,2,2
42,25,75,2,2
43,25,75,2,2
44,25,75,2,2
45,25,75,2,2
46,31,81,3,3
47,31,81,3,3
48,31,81,3,3
49,32,82,3,3
50,32,82,3,3
51,32,82,3,3
52,32,82,3,3
53,33,83,3,3
54,33,83,3,3
55,33,83,3,3
56,33,83,3,3
57,33,83,3,3
58,34,84,3,3
59,34,84,3,3
60,34,84,3,3
61,35,85,3,3
62,35,85,3,3
63,35,85,3,3
64,35,85,3,3
65,35,85,3,3
66,35,85,3,3
67,35,85,3,3
68,41,91,4,4
69,41,91,4,4
70,42,92,4,4
71,42,92,4,4
72,42,92,4,4
73,42,92,4,4
74,42,92,4,4
75,42,92,4,4
76,43,93,4,4
77,43,93,4,4
78,43,93,4,4
79,43,93,4,4
80,43,93,4,4
81,44,94,4,4
82,44,94,4,4
83,44,94,4,4
84,44,94,4,4
85,44,94,4,4
86,44,94,4,4
87,45,95,4,4
88,45,95,4,4
89,45,95,4,4
90,45,95,4,4
91,45,95,4,4
92,45,95,4,4
